5   5   5   4   
9   9   8   6   
4   4   4   1   
8   5   8   5   
5   5   5   4   
9   9   8   6   
4   4   4   1   
8   5   8   5   
5   5   5   4   
9   9   8   6   
4   4   4   1   
8   5   8   5   
5   5   5   4   
9   9   8   6   
4   4   4   1   
8   5   8   5   
5   5   5   4   
9   9   8   6   
4   4   4   1   
8   5   8   5   
5   5   5   4   
9   9   8   6   
4   4   4   1   
8   5   8   5   
5   5   5   4   
9   9   8   6   
4   4   4   1   
8   5   8   5   
5   5   5   4   
9   9   8   6   
4   4   4   1   
8   5   8   5   
5   5   5   4   
9   9   8   6   
4   4   4   1   
8   5   8   5   
5   5   5   4   
9   9   8   6   
4   4   4   1   
8   5   8   5   
